comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count,sentiment
658e7ddd000000001a00e241,1703837149000,,658e7d1d0000000012004a26,六根手指都不够明显吗？,608af36300000000010063ee,momo,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mql06j14e6g5o4audhg8ove1urhbkg?imageView2/2/w/120/format/jpg,303,,0,1728458720283,2.8万,positive
658ef186000000001702da48,1703866758000,,658e7d1d0000000012004a26,这种胖度这样坐着是不会有锁骨的,58de279582ec3932ec4c73b5,冒冒了个彪😱（装修版）,https://sns-avatar-qc.xhscdn.com/avatar/58de279582ec3932ec4c73b5.jpg?imageView2/2/w/120/format/jpg,1059,,0,1728458720285,1.5万,positive
658f627c000000001b01d7d5,1703895676000,,658e7d1d0000000012004a26,手指头数量要是对就更好了,64254af90000000012012ad2,弥鹿,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30prs1sbqn0605p159bskiamipnr8rfo?imageView2/2/w/120/format/jpg,38,,0,1728458720301,1860,negative
662dc6810000000013027e0b,1714275970000,,658e7d1d0000000012004a26,这种画面油腻感和ai不会画手就开始随处藏的毛病我看是改不了了,5f8aeadf0000000001004104,小狗麵包🍞,https://sns-avatar-qc.xhscdn.com/avatar/64503f4346534cda96f80c42.jpg?imageView2/2/w/120/format/jpg,0,,0,1728458720310,116,negative
66725fda000000002100d25c,1718771674000,,658e7d1d0000000012004a26,看起来像一个丰盈的甜美的女子身材好漂亮带的出去看起来甜美攻击性弱旺夫我是男的我也喜欢但我是女的我讨厌男凝,65236872000000002a034308,快乐大列巴「搞钱版」,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo317mdd99eka0g5p93d1pamgo8rnrkfc0?imageView2/2/w/120/format/jpg,6,,0,1728458720323,30,positive
662bd86000000000130241a8,1714149473000,,658e7d1d0000000012004a26,一直怀疑到底是手指的逻辑问题还是怕别人盗用故意整成六个手指再复杂也不至于搞不定会差一个手指吗就算是一个命令下去六个手指也变成五个了总不至于不听指挥,631760d6000000001200c2dd,万里尘,https://sns-avatar-qc.xhscdn.com/avatar/634aa38c22f015ee339a1441.jpg?imageView2/2/w/120/format/jpg,6,,0,1728458720333,28,negative
6629ca2500000000030142d8,1714014758000,,658e7d1d0000000012004a26,这种真的一眼ai啊那手6根手指多吓人,6533b8d4000000000d00692e,布鲁布鲁,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30u7i877fle005p9jn3a38q9ekv3r4h0?imageView2/2/w/120/format/jpg,0,,0,1728458720345,21,negative
66437fdb000000000401aaab,1715699676000,,658e7d1d0000000012004a26,看ai就看手指都解决不了,5efb38890000000001000321,糊涂娃救爷爷,https://sns-avatar-qc.xhscdn.com/avatar/5fdf60aa9006187b8527bdf8.jpg?imageView2/2/w/120/format/jpg,3,,0,1728458720356,4,negative
664ac353000000001c037e99,1716175700000,,658e7d1d0000000012004a26,我就是这种长相和身材都是这样的会再瘦一点可是我老公常常嫌弃我胖啊我已经摆烂了自己开心的吃最重要,58dfc19f6a6a69625b4bf057,简皙兮_她笑靥如花,https://sns-avatar-qc.xhscdn.com/avatar/621454c2aee0e1dfd707b49c.jpg?imageView2/2/w/120/format/jpg,3,,0,1728458720368,3,positive
663890cd0000000010029847,1714983117000,,658e7d1d0000000012004a26,明显的ai油腻腻风格啊,6343f0b6000000001901d9bd,茶叶蛋,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30pq8mj5dmgeg5oq3u2r6bmdtcf1asug?imageView2/2/w/120/format/jpg,0,,0,1728458720380,5,negative
